new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
347.0,13.0,22773.0,250103.0,35203.0,4296730.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
463.0,2.0,10904.0,250566.0,35205.0,4307634.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
259.0,4.0,22063.0,250825.0,35209.0,4329697.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
412.0,6.0,27330.0,251237.0,35215.0,4357027.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
476.0,10.0,25629.0,251713.0,35225.0,4382656.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
522.0,6.0,24868.0,252235.0,35231.0,4407524.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
574.0,3.0,25937.0,252809.0,35234.0,4433461.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
629.0,158.0,22470.0,253438.0,35392.0,4455931.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
477.0,4.0,21379.0,253915.0,35396.0,4477310.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
320.0,4.0,32687.0,254235.0,35400.0,4509997.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
401.0,5.0,41290.0,254636.0,35405.0,4551287.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
642.0,7.0,49662.0,255278.0,35412.0,4600949.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
840.0,6.0,44943.0,256118.0,35418.0,4645892.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
947.0,9.0,46613.0,257065.0,35427.0,4692505.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1071.0,3.0,47463.0,258136.0,35430.0,4739968.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1209.0,7.0,33358.0,259345.0,35437.0,4773326.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
953.0,4.0,45798.0,260298.0,35441.0,4819124.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
876.0,4.0,58054.0,261174.0,35445.0,4877178.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1366.0,13.0,57640.0,262540.0,35458.0,4934818.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1409.0,5.0,65135.0,263949.0,35463.0,4999953.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1460.0,9.0,64294.0,265409.0,35472.0,5064247.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1444.0,1.0,53541.0,266853.0,35473.0,5117788.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1365.0,4.0,42583.0,268218.0,35477.0,5160371.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
996.0,6.0,54395.0,269214.0,35483.0,5214766.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
975.0,8.0,,270189.0,35491.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
1326.0,6.0,,271515.0,35497.0,,Italy,Europe,60461828.0,83.51,3.18,35220.084
